path	kind	head	branch_or_state	current_status_lines	current_status_header	preserved_unique_20260624	primary_class	evidence	next_action
/Users/dhyana/ds_cleanup_convergence_20260625	registered_worktree	cffd79ead	cleanup/convergence-20260615-25	DOCS_ONLY_PENDING	## cleanup/convergence-20260615-25...origin/cleanup/convergence-20260615-25	n/a	GOVERNANCE_MEMBRANE	PR #688 merged; local follow-up receipt records approved first deletion batch and Tier C exact-path approval list	Publish follow-up receipt PR
/Users/dhyana/ds_forge_v1_scoreboard	registered_worktree	d8bca7aab	forge-v1/tokenbroker-scoreboard-20260620	0	## forge-v1/tokenbroker-scoreboard-20260620...origin/main [ahead 9, behind 174]	0	PORT_TO_TRACK	Clean local branch adds 24 Forge v1/tokenbroker files and tests; DGM report says 33 passed, 2 skipped	Open/rebase a proposed forge-v1 evaluation track; preserve before pruning
/Users/dhyana/ds_governance_fitness_ci_20260620	registered_worktree	c69f1cf05	codex/governance-fitness-ci-20260620	0	## codex/governance-fitness-ci-20260620...origin/codex/governance-fitness-ci-20260620 [gone]	0	DUPLICATE_OR_SUPERSEDED	Clean local-only governance fitness branch; current main contains newer governance closure-gate work	Archive or prune after explicit approval
/Users/dhyana/ds_supplychain_slice	registered_worktree	11de04fb7	loop-closure/supplychain-bronze-20260620	14	## loop-closure/supplychain-bronze-20260620...origin/loop-closure/supplychain-bronze-20260620 [gone]	0	PORT_TO_TRACK	PR #648 is merged, but local branch has additional commit `11de04fb7` and dirty overlay including track-strength material	Separate merged Bronze history from unmerged thin-loop and dirty governance overlay
/Users/dhyana/worktrees/dharma_swarm_reconcile_20260622	detached_worktree	726bc9d4d	DETACHED	10	## HEAD (no branch)	48	GOVERNANCE_MEMBRANE	Contains real reconciliation decision docs plus raw command dumps; preservation table marks 48 unique files	Distill decisions into this convergence packet; archive raw dumps
/Users/dhyana/worktrees/ds_arena_admit_20260623	removed_registered_worktree	55e121b13	governance/arena-v1-admission-20260623	REMOVED	REMOVED_BY_APPROVED_BATCH	0	DUPLICATE_OR_SUPERSEDED	Origin/main contains PR #678 arena admission merge; approved worktree removal completed	Removed in first approved batch at 2026-06-25T120918JST
/Users/dhyana/worktrees/ds_cockpit_extract_20260623	removed_registered_worktree	f0d52830e	governance/operator-coherence-cockpit-20260623	REMOVED	REMOVED_BY_APPROVED_BATCH	0	DUPLICATE_OR_SUPERSEDED	Head was already on main; approved worktree removal completed	Removed in first approved batch at 2026-06-25T120918JST
/Users/dhyana/worktrees/ds_mandala_cockpit_throwaway_20260624	registered_worktree	63c4937b3	scratch/mandala-cockpit-v1-20260624	5	## scratch/mandala-cockpit-v1-20260624	2	DASHBOARD_OPERATOR_SURFACE	Unique CockpitTopology.tsx plus throwaway manifest; audit/memory says likely redundant with main cockpit	Diff/compare for ideas only; do not port component directly
/Users/dhyana/worktrees/ds_pr674_rebase_20260624	registered_worktree	ebccfb1e2	repair/pr674-track-closure-gate-20260624	4	## repair/pr674-track-closure-gate-20260624...origin/chore/reconcile-records-2026-06-22 [gone]	0	DUPLICATE_OR_SUPERSEDED	GitHub PR #674 is merged; HEAD is ancestor of origin/main	Prune only after explicit approval
/Users/dhyana/migration_delta/dharma_swarm_old	independent_clone	662b16d	main	53	## main...origin/main [ahead 16]	8	ARCHIVE_ONLY	Old clone is 16 local commits ahead of stale clone origin and 1015 behind fetched current origin/main; bundle exists	Archive-only unless operator revives March autonomy experiment
/Users/dhyana/dharma_swarm_wt/render-on-demand	registered_worktree	21ee18b3	chore/render-on-demand-stop-churn-20260625	0	## chore/render-on-demand-stop-churn-20260625...origin/main	n/a	GOVERNANCE_MEMBRANE	Clean new worktree observed during deletion recheck; HEAD equals current origin/main	DO_NOT_REMOVE; not part of cleanup deletion batch
/Users/dhyana/ds_anti_slop_membrane_20260625	local_git_directory	2efd1981f	governance/anti-slop-promotion-membrane-20260625	0	## governance/anti-slop-promotion-membrane-20260625...github/governance/anti-slop-promotion-membrane-20260625	n/a	GOVERNANCE_MEMBRANE	PR #685 is merged into current origin/main; local directory remains clean but is no longer an open cleanup lane	Do not fold into cleanup branch; treat any future removal as a separate exact-path approval decision
